net_sales,units,gdp,walmex,sp500,ipc,exchange_rates,interest_rates
101405,2867,21547653.372,29.680789244802373,1843.603425678454,39528.06733141447,13.233682222222223,3.7898901639344262
103300,2879,22320092.845,33.32049204091557,1901.2286857229765,41669.39446721312,13.002503296703296,3.6771451612903228
104367,2904,22258208.989,34.3992064339774,1975.5419011191716,44788.73400297619,13.110358695652174,3.2951984615384617
128586,2983,22939816.616,30.782622947067512,2007.633116675205,43557.0173539959,13.841997826086956,3.293131746031746
110875,2987,22170076.827,33.806779699810484,2064.1193226959745,42891.9389565678,14.930268888888888,3.300654098360656
113550,2993,22843184.188,38.19885266413454,2102.2947617827867,44991.60892674181,15.309914285714285,3.3009080645161286
116458,3004,23011620.455,39.57365078396268,2027.7061922588045,43863.839533730155,16.40116304347826,3.3175507692307695
144981,3065,23447735.567,43.7329032036566,2051.4632292716733,43879.99760584677,16.74935652173913,3.3468714285714287
125514,3056,22535780.715,43.11017214018723,1948.2379255623653,43241.50410829741,18.016116483516484,3.789965
126608,3071,23358868.682,42.65187519788742,2075.1314067840576,45471.91015625,18.05202967032967,4.080403076923077
125875,2977,23214588.249,43.48809517754449,2162.4203132750495,47150.99826388889,18.718164130434783,4.5872523076923075
156515,3022,23984725.339,39.337666829427086,2184.9044881184896,46482.4439453125,19.826958695652174,5.429427419354839
131710,3028,23310683.5,38.7021666208903,2325.6916625976564,47338.660872395834,20.389334444444444,6.396307936507936
134792,3046,23714199.174,42.7557376173676,2399.260474033043,49243.46445952869,18.598592307692307,7.029538709677419
146635,3205,23491245.953,42.484285929846386,2467.1746264260914,50850.377666170636,17.822389130434782,7.372884615384615
167115,3134,24320300.633,44.38333314259847,2603.006180826823,48718.82513020833,18.934280434782607,7.418583606557377
143953,3156,23551474.194,46.12706888133082,2736.8853465113148,48769.4018049569,18.76377,7.744971666666667
145476,3182,24381862.448,50.358730013408355,2703.898406498016,46859.801649305555,19.372435164835164,7.87283125
146635,3205,24138832.805,54.0506347171844,2849.6014307415676,49161.99107142857,18.978308695652174,8.10789076923077
176123,3249,24634512.062,51.9443333307902,2699.4588338216145,44100.986067708334,19.828754347826088,8.248651612903226
150534,3259,23814241.039,50.3367796429133,2719.0416859772245,43054.23397775424,19.22107111111111,8.55872786885246
153149,3291,24212333.452,54.445245961673926,2881.2768714779713,43804.260758196724,19.124632967032966,8.50414193548387
164154,3452,24054175.843,55.852539607456755,2957.199524894593,41674.34920634921,19.41739239130435,8.35397076923077
194724,3489,24382872.707,55.894515868156184,3080.738048922631,43386.975932459674,19.281609782608697,7.862722222222222
169957,3416,23444757.308,56.079249954223634,3063.813993326823,42053.569661458336,19.878808791208794,7.341943548387096
167875,3428,19201803.602,56.276065513735915,2935.666555936219,36401.01972336065,23.365513186813185,6.047340322580645
164154,3452,22030368.169,54.36063500056191,3318.7919146825398,37288.18607390873,22.110946739130437,4.981009230769231
194724,3489,23467135.025,54.13435499129757,3557.272901965726,40697.09526209677,20.631832608695653,4.50591746031746
169334,3513,22735887.036,62.161017013808426,3865.5139118776483,45702.91340042373,20.319934444444446,4.368780327868853
173378,3538,23398419.413,64.20790352359894,4186.2675938760085,49448.206023185485,20.04974175824176,4.29605873015873
174577,3569,23162043.834,68.54904798477415,4420.759982638889,51101.20678323413,20.00942934782609,4.635300000000001
213063,3620,23906485.295,72.98822575230753,4600.347089213709,51537.27879284274,20.746378260869566,5.190109375
186409,3631,23456410.096,74.32416648864746,4463.566487630208,53099.593033854166,20.52421888888889,6.032151612903226
194058,3651,24176436.57,72.89704907526735,4100.9634509477455,51102.40298411885,20.042231868131868,7.071176190476191
196321,3677,24269422.402,71.47444443475632,3982.049858940972,47037.07434275794,20.242231521739132,8.476172307692307
236272,3745,24981146.477,73.02250022888184,3849.5690104166665,49374.1396484375,19.699095652173913,10.029443548387098
204601,3755,24291956.149,72.58133341471354,3999.022509765625,53196.44733072917,18.704144444444445,11.071639682539681
212164,3775,25001939.978,70.33666674296062,4208.393827311198,54292.64544270833,17.723183516483516,11.521204838709677
211436,3802,25121269.269,67.77682513282413,4458.137447296627,53210.64552331349,17.05815,11.501250769230769
251921,3903,25596360.563,66.06199951171875,4463.005338541667,52375.8330078125,17.582582608695652,11.504218032786884
