Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
01/21/2015,3.29
01/22/2015,3.295
01/23/2015,3.2925
01/26/2015,3.2975
01/27/2015,3.3039
01/28/2015,3.2977
01/29/2015,3.305
01/30/2015,3.2875
02/03/2015,3.295
02/04/2015,3.301
02/05/2015,3.3
02/06/2015,3.2925
02/09/2015,3.291
02/10/2015,3.2975
02/11/2015,3.2955
02/12/2015,3.2891
02/13/2015,3.3029
02/16/2015,3.2961
02/17/2015,3.2975
02/18/2015,3.3
02/19/2015,3.3
02/20/2015,3.295
02/23/2015,3.2925
02/24/2015,3.3
02/25/2015,3.3025
02/26/2015,3.3041
02/27/2015,3.2925
03/02/2015,3.2987
03/03/2015,3.29
03/04/2015,3.2934
03/05/2015,3.2953
03/06/2015,3.2875
03/09/2015,3.3037
03/10/2015,3.305
03/11/2015,3.3075
03/12/2015,3.31
03/13/2015,3.3025
03/17/2015,3.3112
03/18/2015,3.314
03/19/2015,3.309
03/20/2015,3.299
03/23/2015,3.303
03/24/2015,3.305
03/25/2015,3.3083
03/26/2015,3.3075
03/27/2015,3.31
03/30/2015,3.305
03/31/2015,3.2955
04/01/2015,3.299
04/06/2015,3.295
04/07/2015,3.3
04/08/2015,3.29
04/09/2015,3.305
04/10/2015,3.31
04/13/2015,3.3082
04/14/2015,3.3
04/15/2015,3.3
04/16/2015,3.278
04/17/2015,3.285
04/20/2015,3.295
04/21/2015,3.2955
04/22/2015,3.297
04/23/2015,3.293
04/24/2015,3.3046
04/27/2015,3.3
04/28/2015,3.29
04/29/2015,3.2875
04/30/2015,3.2975
05/04/2015,3.3062
05/05/2015,3.3
05/06/2015,3.295
05/07/2015,3.3075
05/08/2015,3.3
05/11/2015,3.3
05/12/2015,3.3
05/13/2015,3.3065
05/14/2015,3.302
05/15/2015,3.3
05/18/2015,3.2935
05/19/2015,3.2995
05/20/2015,3.2945
05/21/2015,3.31
05/22/2015,3.299
05/25/2015,3.3072
05/26/2015,3.305
